booking_id,date,room_id,room_type,status,price,guest_count,check_in,check_out,wifi,parking,breakfast,season,occupancy_level,guest_name,country,payment_method,booking_channel,stay_purpose,discount_pct,review_score,special_request
B040001,2025-04-21,R215,Suite,Booked,416.68,3,2025-04-21,2025-04-24,No,Yes,No,Low,Low,Marie Dubois,USA,Credit Card,OTA,Leisure,10,4.2,None
B040002,2025-04-02,R416,Standard,Booked,103.76,3,2025-04-02,2025-04-06,No,No,No,Low,Low,Hans Muller,UK,Cash,Direct,Business,18,4.5,Late check-in
B040003,2025-04-27,R248,Suite,Available,366.81,0,,,Yes,Yes,No,Low,Low,,,,,,12,3.9,
B040004,2025-04-04,R272,Deluxe,Booked,207.98,4,2025-04-04,2025-04-06,No,Yes,No,Low,Low,Hans Muller,France,Credit Card,Travel Agent,Business,15,3.2,Extra towels
B040005,2025-04-02,R132,Suite,Available,427.01,0,,,Yes,No,Yes,Low,Low,,,,,,19,4.8,
B040006,2025-04-16,R151,Suite,Available,421.34,0,,,No,Yes,No,Low,Low,,,,,,8,4.6,
B040007,2025-04-12,R473,Standard,Booked,101.84,1,2025-04-12,2025-04-16,Yes,Yes,No,Low,Low,Marie Dubois,Germany,Credit Card,Direct,Leisure,11,4.9,Extra towels
B040008,2025-04-02,R110,Standard,Booked,109.14,4,2025-04-02,2025-04-06,Yes,Yes,Yes,Low,Low,Yuki Tanaka,Canada,Cash,Direct,Business,18,4.9,Late check-in
B040009,2025-04-06,R119,Standard,Available,109.09,0,,,Yes,No,No,Low,Low,,,,,,10,4.1,
B040010,2025-04-10,R277,Suite,Available,380.37,0,,,Yes,No,Yes,Low,Low,,,,,,6,3.1,
B040011,2025-04-10,R426,Standard,Booked,104.21,4,2025-04-10,2025-04-15,Yes,No,No,Low,Low,Hans Muller,Germany,Credit Card,Travel Agent,Business,8,4.6,None
B040012,2025-04-05,R223,Deluxe,Cancelled,186.54,3,2025-04-05,2025-04-09,Yes,Yes,Yes,Low,Low,Emma Jones,France,Cash,Travel Agent,Business,5,3.8,None
B040013,2025-04-06,R473,Suite,Available,375.35,0,,,Yes,No,Yes,Low,Low,,,,,,17,4.7,
B040014,2025-04-16,R139,Deluxe,Booked,194.05,3,2025-04-16,2025-04-17,Yes,No,Yes,Low,Low,Hans Muller,Canada,Credit Card,Direct,Business,16,3.4,Late check-in
B040015,2025-04-14,R177,Standard,Booked,105.85,1,2025-04-14,2025-04-18,No,No,Yes,Low,Low,Emma Jones,USA,Debit Card,OTA,Leisure,5,4.1,Extra towels
B040016,2025-04-10,R213,Suite,Available,368.39,0,,,Yes,Yes,No,Low,Low,,,,,,5,3.0,
B040017,2025-04-25,R132,Suite,Available,407.59,0,,,Yes,Yes,No,Low,Low,,,,,,1,3.3,
B040018,2025-04-03,R365,Suite,Booked,371.21,3,2025-04-03,2025-04-05,Yes,No,No,Low,Low,Emma Jones,Germany,Cash,Travel Agent,Leisure,13,4.0,Extra towels
B040019,2025-04-18,R396,Suite,No-Show,434.2,3,2025-04-18,2025-04-20,Yes,Yes,No,Low,Low,Marie Dubois,Germany,Cash,Travel Agent,Leisure,10,4.5,Late check-in
B040020,2025-04-10,R113,Deluxe,Booked,189.06,1,2025-04-10,2025-04-15,No,Yes,Yes,Low,Low,Hans Muller,Canada,Cash,OTA,Business,16,3.0,Late check-in
B040021,2025-04-28,R500,Suite,Booked,391.09,4,2025-04-28,2025-05-02,Yes,Yes,No,Low,Low,Emma Jones,USA,Debit Card,Travel Agent,Leisure,1,3.1,Extra towels
B040022,2025-04-11,R471,Deluxe,Available,193.95,0,,,No,Yes,Yes,Low,Low,,,,,,11,4.9,
B040023,2025-04-06,R198,Standard,Available,98.92,0,,,Yes,No,Yes,Low,Low,,,,,,16,4.7,
B040024,2025-04-11,R163,Standard,Available,104.66,0,,,Yes,Yes,Yes,Low,Low,,,,,,0,3.1,
B040025,2025-04-11,R426,Deluxe,Available,209.55,0,,,No,No,Yes,Low,Low,,,,,,6,4.1,
B040026,2025-04-17,R142,Standard,Available,100.66,0,,,No,Yes,No,Low,Low,,,,,,16,3.3,
B040027,2025-04-23,R419,Standard,Available,104.11,0,,,Yes,No,Yes,Low,Low,,,,,,0,4.2,
B040028,2025-04-15,R411,Deluxe,Available,189.53,0,,,No,Yes,Yes,Low,Low,,,,,,16,3.2,
B040029,2025-04-22,R392,Standard,Available,103.77,0,,,No,Yes,No,Low,Low,,,,,,9,3.2,
B040030,2025-04-05,R339,Deluxe,Booked,210.55,4,2025-04-05,2025-04-07,No,Yes,No,Low,Low,John Smith,USA,Credit Card,Travel Agent,Leisure,18,3.3,Extra towels
B040031,2025-04-28,R442,Suite,Available,407.13,0,,,Yes,Yes,Yes,Low,Low,,,,,,3,3.3,
B040032,2025-04-01,R392,Standard,Booked,104.34,2,2025-04-01,2025-04-05,Yes,Yes,No,Low,Low,Emma Jones,Canada,Cash,OTA,Leisure,3,4.4,Late check-in
B040033,2025-04-27,R279,Suite,Available,387.97,0,,,No,No,Yes,Low,Low,,,,,,12,5.0,
B040034,2025-04-02,R310,Standard,Booked,101.71,2,2025-04-02,2025-04-06,No,No,No,Low,Low,Marie Dubois,UK,Debit Card,OTA,Leisure,8,3.7,None
B040035,2025-04-04,R312,Standard,Available,97.5,0,,,No,No,No,Low,Low,,,,,,8,4.8,
B040036,2025-04-24,R212,Standard,Cancelled,92.96,4,2025-04-24,2025-04-25,No,Yes,No,Low,Low,Yuki Tanaka,USA,Debit Card,OTA,Leisure,11,3.7,Late check-in
B040037,2025-04-20,R489,Standard,Booked,109.84,3,2025-04-20,2025-04-25,No,Yes,Yes,Low,Low,Hans Muller,Japan,Credit Card,OTA,Leisure,17,3.0,None
B040038,2025-04-02,R123,Standard,Booked,108.63,4,2025-04-02,2025-04-03,No,No,No,Low,Low,John Smith,UK,Debit Card,OTA,Business,4,4.1,None
B040039,2025-04-01,R425,Deluxe,Available,180.94,0,,,No,Yes,No,Low,Low,,,,,,19,4.9,
B040040,2025-04-06,R175,Deluxe,Cancelled,193.9,1,2025-04-06,2025-04-09,No,No,No,Low,Low,Yuki Tanaka,Canada,Credit Card,Travel Agent,Business,13,3.3,Extra towels
B040041,2025-04-19,R140,Suite,Available,424.25,0,,,Yes,Yes,No,Low,Low,,,,,,19,3.9,
B040042,2025-04-13,R458,Suite,Booked,399.9,1,2025-04-13,2025-04-15,Yes,No,Yes,Low,Low,Marie Dubois,UK,Cash,OTA,Leisure,13,4.3,Late check-in
B040043,2025-04-13,R395,Standard,Booked,99.45,1,2025-04-13,2025-04-18,No,Yes,Yes,Low,Low,Emma Jones,France,Credit Card,Travel Agent,Business,17,4.5,None
B040044,2025-04-10,R234,Standard,Available,108.37,0,,,Yes,Yes,Yes,Low,Low,,,,,,6,4.1,
B040045,2025-04-08,R316,Suite,Cancelled,403.65,4,2025-04-08,2025-04-13,No,No,Yes,Low,Low,Emma Jones,UK,Credit Card,Direct,Business,15,4.6,Late check-in
B040046,2025-04-01,R263,Deluxe,Booked,199.5,4,2025-04-01,2025-04-05,No,No,No,Low,Low,Yuki Tanaka,UK,Cash,Travel Agent,Business,4,3.1,Extra towels
B040047,2025-04-14,R200,Suite,Available,418.52,0,,,No,Yes,No,Low,Low,,,,,,2,4.4,
B040048,2025-04-24,R438,Deluxe,Booked,210.61,4,2025-04-24,2025-04-25,No,No,No,Low,Low,John Smith,Japan,Credit Card,Direct,Business,7,3.1,Late check-in
B040049,2025-04-11,R443,Deluxe,Available,190.88,0,,,Yes,Yes,Yes,Low,Low,,,,,,14,4.8,
B040050,2025-04-28,R353,Deluxe,Available,182.98,0,,,No,No,No,Low,Low,,,,,,11,3.8,
B040051,2025-04-27,R458,Standard,Available,103.32,0,,,No,Yes,No,Low,Low,,,,,,20,4.7,
B040052,2025-04-06,R261,Deluxe,Available,212.73,0,,,No,Yes,Yes,Low,Low,,,,,,1,3.2,
B040053,2025-04-28,R476,Suite,Available,371.57,0,,,No,No,Yes,Low,Low,,,,,,9,4.3,
B040054,2025-04-27,R370,Suite,Available,389.82,0,,,Yes,No,No,Low,Low,,,,,,0,4.5,
B040055,2025-04-21,R242,Standard,Booked,106.57,2,2025-04-21,2025-04-26,No,Yes,Yes,Low,Low,Marie Dubois,Germany,Debit Card,OTA,Business,1,4.5,None
B040056,2025-04-25,R192,Standard,Available,97.7,0,,,No,Yes,Yes,Low,Low,,,,,,0,4.6,
B040057,2025-04-15,R154,Deluxe,Available,180.48,0,,,Yes,Yes,No,Low,Low,,,,,,18,4.1,
B040058,2025-04-01,R186,Suite,Available,402.88,0,,,Yes,Yes,No,Low,Low,,,,,,12,3.5,
B040059,2025-04-27,R370,Suite,Available,419.22,0,,,No,Yes,No,Low,Low,,,,,,12,4.7,
B040060,2025-04-08,R110,Standard,Available,99.7,0,,,Yes,No,No,Low,Low,,,,,,8,4.6,
B040061,2025-04-10,R314,Deluxe,Booked,203.67,1,2025-04-10,2025-04-13,No,No,Yes,Low,Low,Marie Dubois,France,Credit Card,OTA,Leisure,2,4.7,Late check-in
B040062,2025-04-17,R367,Deluxe,Booked,215.15,3,2025-04-17,2025-04-20,Yes,Yes,Yes,Low,Low,Marie Dubois,France,Debit Card,Direct,Business,18,4.3,None
B040063,2025-04-20,R220,Standard,Available,90.58,0,,,No,No,No,Low,Low,,,,,,0,4.2,
B040064,2025-04-09,R286,Deluxe,Cancelled,203.89,4,2025-04-09,2025-04-13,Yes,Yes,No,Low,Low,John Smith,USA,Credit Card,Direct,Leisure,15,4.9,Extra towels
B040065,2025-04-09,R330,Deluxe,Booked,198.87,3,2025-04-09,2025-04-10,Yes,No,No,Low,Low,Marie Dubois,Germany,Credit Card,Travel Agent,Leisure,16,3.4,Late check-in
B040066,2025-04-14,R220,Deluxe,Available,196.91,0,,,No,No,No,Low,Low,,,,,,16,3.2,
B040067,2025-04-13,R220,Deluxe,Available,206.44,0,,,Yes,No,Yes,Low,Low,,,,,,1,3.6,
B040068,2025-04-13,R179,Suite,Available,386.03,0,,,No,No,Yes,Low,Low,,,,,,5,3.2,
B040069,2025-04-20,R352,Deluxe,Available,207.29,0,,,No,No,Yes,Low,Low,,,,,,13,4.6,
B040070,2025-04-26,R251,Standard,Available,101.93,0,,,Yes,No,No,Low,Low,,,,,,8,4.5,
B040071,2025-04-06,R413,Standard,Booked,107.23,2,2025-04-06,2025-04-09,Yes,Yes,No,Low,Low,Yuki Tanaka,Canada,Cash,Travel Agent,Leisure,13,3.1,None
B040072,2025-04-28,R166,Deluxe,Available,187.89,0,,,No,No,No,Low,Low,,,,,,1,3.3,
B040073,2025-04-05,R476,Standard,Available,106.79,0,,,No,Yes,No,Low,Low,,,,,,3,3.1,
B040074,2025-04-01,R439,Deluxe,Cancelled,200.23,1,2025-04-01,2025-04-02,Yes,Yes,No,Low,Low,Yuki Tanaka,Canada,Credit Card,Travel Agent,Business,6,4.2,Late check-in
B040075,2025-04-27,R333,Suite,Available,427.39,0,,,No,Yes,Yes,Low,Low,,,,,,8,3.4,
B040076,2025-04-02,R166,Suite,Available,407.93,0,,,Yes,No,Yes,Low,Low,,,,,,12,4.8,
B040077,2025-04-16,R497,Standard,Available,99.92,0,,,No,Yes,Yes,Low,Low,,,,,,0,4.1,
B040078,2025-04-10,R474,Deluxe,Available,188.45,0,,,No,No,Yes,Low,Low,,,,,,0,3.6,
B040079,2025-04-28,R312,Suite,Available,384.84,0,,,No,Yes,No,Low,Low,,,,,,6,4.6,
B040080,2025-04-14,R458,Suite,No-Show,387.55,4,2025-04-14,2025-04-19,Yes,No,Yes,Low,Low,Marie Dubois,France,Debit Card,OTA,Business,1,3.6,Extra towels
B040081,2025-04-08,R383,Deluxe,Booked,198.91,3,2025-04-08,2025-04-13,No,No,No,Low,Low,Marie Dubois,Canada,Credit Card,Direct,Leisure,1,4.0,None
B040082,2025-04-14,R301,Suite,Available,379.01,0,,,No,Yes,Yes,Low,Low,,,,,,19,3.6,
B040083,2025-04-08,R465,Deluxe,Available,188.24,0,,,No,No,No,Low,Low,,,,,,17,3.2,
B040084,2025-04-09,R296,Suite,Cancelled,426.05,4,2025-04-09,2025-04-10,Yes,Yes,No,Low,Low,John Smith,Canada,Debit Card,OTA,Leisure,15,4.2,Late check-in
B040085,2025-04-26,R190,Suite,Available,377.66,0,,,No,Yes,No,Low,Low,,,,,,12,3.1,
B040086,2025-04-06,R292,Deluxe,No-Show,186.83,2,2025-04-06,2025-04-07,Yes,No,No,Low,Low,Hans Muller,Japan,Credit Card,Direct,Leisure,9,4.5,None
