ID,Name,Age,City,Salary
1,Bob,33,Phoenix,104608.15
2,Charlie,25,New York,42922.03
3,Alice,55,Chicago,40155.43
4,Bob,18,Chicago,36625.62
5,Charlie,30,Houston,101225.42
6,Charlie,23,Chicago,88489.45
7,David,35,New York,108636.16
8,David,56,Phoenix,87637.78
9,Alice,40,Phoenix,67813.78
10,Bob,47,Phoenix,38681.44
11,Eva,28,Houston,58232.43
12,Alice,44,Los Angeles,109205.52
13,Eva,25,Chicago,93643.77
14,Bob,25,Houston,119406.68
15,David,32,Houston,80257.41
16,Bob,22,Houston,75163.85
17,Alice,39,Los Angeles,61373.76
18,Charlie,43,Chicago,68447.48
19,Eva,29,Los Angeles,115818.3
20,Alice,42,Phoenix,41060.58
21,Alice,38,Houston,59350.37
22,Eva,61,Chicago,66722.81
23,Charlie,56,New York,71316.19
24,Eva,19,New York,90300.44
25,Eva,30,Los Angeles,74163.02
26,David,62,Chicago,75353.03
27,Bob,22,Phoenix,62956.58
28,Alice,55,Houston,33219.53
29,Alice,28,Phoenix,38207.02
30,Bob,20,Phoenix,72479.97
31,Alice,44,Chicago,36860.63
32,Eva,53,Houston,93344.34
33,David,64,Houston,85144.24
34,Eva,49,Houston,63371.92
35,Alice,39,Los Angeles,86610.77
36,Bob,49,New York,34851.28
37,Charlie,41,Phoenix,95021.99
38,Bob,50,Los Angeles,102646.29
39,Charlie,31,Chicago,65817.46
40,Bob,45,Houston,73862.0
41,Alice,41,New York,87414.9
42,Bob,19,Chicago,30177.41
43,Eva,36,Los Angeles,68138.31
44,Alice,57,Houston,94827.44
45,Charlie,33,Houston,33946.43
46,Alice,51,Chicago,73862.91
47,Eva,64,Los Angeles,46467.45
48,Bob,24,Los Angeles,105354.52
49,Eva,51,Chicago,115324.0
50,Eva,52,Houston,66431.33
51,Bob,21,Phoenix,81722.61
52,Alice,51,Phoenix,64668.33
53,Alice,55,Phoenix,78695.71
54,Eva,30,Houston,33909.09
55,David,23,Phoenix,98085.14
56,Eva,32,New York,64318.61
57,David,36,Los Angeles,114020.62
58,Charlie,52,Houston,98173.7
59,Charlie,40,Los Angeles,112381.55
60,Bob,28,Phoenix,83250.44
61,David,29,New York,80951.69
62,Charlie,24,Phoenix,43818.65
63,Eva,19,New York,84410.35
64,Eva,35,Chicago,84985.19
65,Eva,49,Houston,47809.69
66,Charlie,18,New York,56382.88
67,Eva,22,Phoenix,73138.74
68,Charlie,49,Houston,75908.15
69,Charlie,62,Phoenix,100529.75
